Surname,australian_gp,chinese_gp,japanese_gp,bahrain_gp,saudi_gp,miami_gp,emilia_gp,monaco_gp,spanish_gp,canadian_gp,austrian_gp,british_gp,belgian_gp,hungarian_gp,dutch_gp,italian_gp,azerbaijan_gp,singapore_gp,unitedstates_gp,mexicocity_gp,brazilian_gp,lasvegas_gp,qatar_gp,abudhabi_gp
Albon,1.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,-9.0,-1.0,-8.0,6.0,-1.0,5.0,8.0,7.0,6.0,6.0,5.0,5.0,1.0,-4.0,4.0,1.0
Alonso,-8.0,-7.0,2.0,-2.0,2.0,2.0,-6.0,-13.0,1.0,-1.0,4.0,0.0,2.0,0.0,2.0,-11.0,-4.0,3.0,0.0,-6.0,-3.0,-4.0,1.0,0.0
Antonelli,12.0,2.0,0.0,-7.0,-1.0,-3.0,-7.0,-3.0,-14.0,1.0,-11.0,-13.0,2.0,5.0,-9.0,-2.0,0.0,-1.0,-6.0,0.0,0.0,14.0,0.0,-1.0
Bearman,6.0,9.0,0.0,10.0,2.0,0.0,2.0,8.0,-5.0,7.0,4.0,-3.0,1.0,-9.0,-1.0,-1.0,3.0,0.0,-1.0,6.0,2.0,4.0,-7.0,-1.0
Bortoleto,-5.0,5.0,-2.0,0.0,2.0,-7.0,-4.0,2.0,0.0,-2.0,0.0,-3.0,1.0,1.0,6.0,0.0,2.0,-3.0,-2.0,6.0,0.0,-2.0,1.0,-4.0
Colapinto,,,,,,,-1.0,7.0,4.0,0.0,-3.0,0.0,-2.0,-4.0,4.0,1.0,-3.0,0.0,-2.0,4.0,3.0,0.0,6.0,0.0
Doohan,-6.0,5.0,4.0,-3.0,0.0,-6.0,,,,,,,,,,,,,,,,,,
Gasly,-2.0,-4.0,-2.0,-2.0,-11.0,5.0,-3.0,-2.0,0.0,3.0,-3.0,4.0,3.0,0.0,3.0,3.0,0.0,-1.0,-5.0,3.0,-1.0,-3.0,-7.0,0.0
Hadjar,-9.0,-4.0,-1.0,-1.0,4.0,0.0,0.0,0.0,2.0,5.0,1.0,-7.0,-12.0,-1.0,1.0,6.0,-2.0,-3.0,4.0,-4.0,-3.0,2.0,-14.0,-8.0
Hamilton,-2.0,-15.0,1.0,4.0,0.0,4.0,8.0,15.0,-1.0,-1.0,0.0,1.0,9.0,1.0,-13.0,-1.0,4.0,-2.0,1.0,-5.0,-7.0,12.0,6.0,8.0
Hulkenberg,10.0,-3.0,0.0,-4.0,3.0,2.0,5.0,-3.0,11.0,5.0,3.0,16.0,2.0,3.0,2.0,-8.0,1.0,-9.0,3.0,-7.0,1.0,4.0,-9.0,9.0
Lawson,-2.0,8.0,-3.0,1.0,0.0,-5.0,2.0,1.0,2.0,-10.0,0.0,-4.0,1.0,1.0,-5.0,6.0,-2.0,-3.0,1.0,-5.0,0.0,-8.0,3.0,-5.0
Leclerc,-1.0,-14.0,0.0,-1.0,1.0,1.0,5.0,0.0,4.0,3.0,-1.0,-8.0,0.0,-19.0,-14.0,0.0,1.0,1.0,0.0,0.0,-17.0,5.0,2.0,1.0
Norris,0.0,1.0,0.0,3.0,16.0,0.0,2.0,0.0,0.0,-13.0,0.0,2.0,-1.0,2.0,-18.0,0.0,0.0,2.0,0.0,0.0,0.0,-19.0,-2.0,-1.0
Ocon,6.0,6.0,0.0,12.0,5.0,-3.0,-2.0,1.0,1.0,5.0,4.0,2.0,-4.0,2.0,4.0,0.0,6.0,-1.0,2.0,3.0,5.0,4.0,2.0,1.0
Piastri,-7.0,0.0,0.0,0.0,1.0,3.0,-2.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,-11.0,-1.0,1.0,3.0,-1.0,-15.0,-1.0,1.0
Russell,1.0,-1.0,0.0,0.0,-2.0,2.0,-4.0,3.0,0.0,0.0,0.0,-6.0,1.0,1.0,1.0,1.0,3.0,0.0,-2.0,-3.0,2.0,2.0,-2.0,-1.0
Sainz,-10.0,5.0,6.0,-12.0,-2.0,-3.0,-2.0,1.0,4.0,1.0,0.0,-1.0,-3.0,-2.0,-1.0,2.0,-1.0,10.0,-11.0,-10.0,2.0,-2.0,4.0,-1.0
Stroll,7.0,5.0,0.0,2.0,0.0,3.0,-7.0,5.0,-6.0,-1.0,2.0,11.0,6.0,-1.0,13.0,-1.0,-3.0,2.0,6.0,5.0,-2.0,-8.0,-1.0,5.0
Tsunoda,-7.0,-7.0,3.0,1.0,-12.0,0.0,10.0,-5.0,7.0,0.0,-13.0,-3.0,-6.0,0.0,-5.0,-3.0,0.0,1.0,6.0,0.0,2.0,7.0,6.0,-4.0
Verstappen,1.0,0.0,0.0,1.0,-1.0,-3.0,1.0,1.0,-17.0,0.0,-13.0,-4.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,2.0,0.0
