Surname,Driver,race-result,qualifying,practice/1
Verstappen,Max Verstappen,1,1,NC
Norris,Lando Norris,2,2,1
Leclerc,Charles Leclerc,3,3,NC
Hamilton,Lewis Hamilton,4,5,NC
Piastri,Oscar Piastri,5,6,3
Russell,George Russell,6,4,NC
Tsunoda,Yuki Tsunoda,7,13,NC
Hulkenberg,Nico Hülkenberg,8,11,2
Bearman,Oliver Bearman,9,8,NC
Alonso,Fernando Alonso,10,10,4
Lawson,Liam Lawson,11,12,NC
Stroll,Lance Stroll,12,18,NC
Antonelli,Kimi Antonelli,13,7,NC
Albon,Alexander Albon,14,19,NC
Ocon,Esteban Ocon,15,17,NC
Hadjar,Isack Hadjar,16,NC,NC
Colapinto,Franco Colapinto,17,15,NC
Bortoleto,Gabriel Bortoleto,18,16,NC
Gasly,Pierre Gasly,19,14,NC
Sainz,Carlos Sainz,DNF,9,NC
